game_id,home_bat_runs,home_bat_doubles,home_bat_triples,home_bat_homeRuns,home_bat_strikeOuts,home_bat_baseOnBalls,home_bat_hits,home_bat_avg,home_bat_atBats,home_bat_obp,home_bat_slg,home_bat_ops,home_bat_stolenBases,home_bat_rbi,home_bat_leftOnBase,home_pit_runs,home_pit_doubles,home_pit_triples,home_pit_homeRuns,home_pit_strikeOuts,home_pit_baseOnBalls,home_pit_hits,home_pit_atBats,home_pit_obp,home_pit_stolenBases,home_pit_numberOfPitches,home_pit_era,home_pit_inningsPitched,home_pit_earnedRuns,home_pit_pitchesThrown,home_pit_strikes,home_pit_rbi,home_starter_era,home_starter_ip,home_starter_k,home_starter_bb,home_starter_h,home_starter_er,home_starter_name,away_bat_runs,away_bat_doubles,away_bat_triples,away_bat_homeRuns,away_bat_strikeOuts,away_bat_baseOnBalls,away_bat_hits,away_bat_avg,away_bat_atBats,away_bat_obp,away_bat_slg,away_bat_ops,away_bat_stolenBases,away_bat_rbi,away_bat_leftOnBase,away_pit_runs,away_pit_doubles,away_pit_triples,away_pit_homeRuns,away_pit_strikeOuts,away_pit_baseOnBalls,away_pit_hits,away_pit_atBats,away_pit_obp,away_pit_stolenBases,away_pit_numberOfPitches,away_pit_era,away_pit_inningsPitched,away_pit_earnedRuns,away_pit_pitchesThrown,away_pit_strikes,away_pit_rbi,away_starter_era,away_starter_ip,away_starter_k,away_starter_bb,away_starter_h,away_starter_er,away_starter_name,game_date,home_team,away_team,home_score,away_score,winning_team,home_win,home_probable_pitcher,away_probable_pitcher
718750,8,3,0,1,4,8,10,.237,32,.308,.355,.663,0,8,19,4,4,0,1,6,3,6,31,.286,0,117,5.00,9.0,4,117,76,4,6.00,6.0,2,3,6,4,Wacha,4,4,0,1,6,3,6,.291,31,.345,.500,.845,0,4,12,8,3,0,1,4,8,10,32,.439,0,158,3.81,8.0,8,158,92,8,15.43,2.1,0,4,5,4,Ureña,2023-04-01,San Diego Padres,Colorado Rockies,8,4,San Diego Padres,1,,
718749,10,2,0,4,7,5,8,.263,30,.385,.505,.890,0,10,8,1,2,0,1,10,0,5,32,.156,0,118,1.67,9.0,1,118,86,1,1.50,6.0,9,0,4,1,Kershaw,1,2,0,1,10,0,5,.170,32,.186,.287,.473,0,1,9,10,2,0,4,7,5,8,30,.378,0,145,6.84,8.0,10,145,85,10,11.25,4.0,2,4,4,5,Bumgarner,2023-04-01,Los Angeles Dodgers,Arizona Diamondbacks,10,1,Los Angeles Dodgers,1,,
718746,0,1,0,0,6,2,3,.183,29,.248,.290,.538,1,0,8,2,0,0,2,9,3,5,32,.229,1,131,2.00,9.0,2,131,88,2,1.50,6.0,7,1,4,1,"Gilbert, L",2,0,0,2,9,3,5,.216,32,.289,.304,.593,1,2,8,0,1,0,0,6,2,3,29,.161,1,112,2.42,9.0,0,112,76,0,0.00,7.0,3,1,2,0,Civale,2023-04-01,Seattle Mariners,Cleveland Guardians,0,2,Cleveland Guardians,0,,
718742,5,2,0,1,4,2,8,.278,32,.375,.495,.870,2,4,12,1,0,0,1,14,1,2,29,.100,0,117,1.00,9.0,1,117,80,1,0.00,6.0,12,1,0,0,Springs,1,0,0,1,14,1,2,.147,29,.198,.221,.419,0,1,4,5,2,0,1,4,2,8,32,.314,2,127,7.88,8.0,5,127,84,4,5.06,5.1,3,1,4,3,Wentz,2023-04-02,Tampa Bay Rays,Detroit Tigers,5,1,Tampa Bay Rays,1,,
718748,9,2,0,1,7,4,14,.327,38,.395,.564,.959,1,9,22,5,2,0,2,10,2,10,36,.316,0,153,7.67,9.0,5,153,103,5,5.40,5.0,5,1,5,3,Houck,5,2,0,2,10,2,10,.339,36,.426,.607,1.033,0,5,13,9,2,0,1,7,4,14,38,.429,1,164,8.42,8.0,9,164,110,9,13.50,4.0,4,2,8,6,"Irvin, C",2023-04-02,Boston Red Sox,Baltimore Orioles,9,5,Boston Red Sox,1,,
718743,4,1,0,0,4,5,6,.211,27,.298,.278,.576,0,4,9,1,1,0,0,6,5,4,28,.273,0,137,4.00,9.0,1,137,86,1,1.69,5.1,6,4,3,1,Gore,1,1,0,0,6,5,4,.262,28,.345,.408,.753,0,1,11,4,1,0,0,4,5,6,27,.333,0,127,2.42,8.0,4,127,75,4,7.71,4.2,1,5,6,4,Shuster,2023-04-02,Washington Nationals,Atlanta Braves,4,1,Washington Nationals,1,,
718747,6,0,0,3,6,5,7,.255,29,.327,.490,.817,2,5,14,0,0,0,0,12,2,3,29,.212,0,131,2.33,9.0,0,131,88,0,0.00,5.0,6,1,2,0,Brito,0,0,0,0,12,2,3,.194,29,.282,.286,.568,0,0,15,6,0,0,3,6,5,7,29,.361,2,155,5.40,8.0,6,155,90,5,7.20,5.0,3,2,6,4,Stripling,2023-04-02,New York Yankees,San Francisco Giants,6,0,New York Yankees,1,,
718744,3,2,0,2,6,3,9,.232,32,.318,.484,.802,0,3,14,1,1,0,1,7,1,6,33,.206,1,125,2.67,9.0,1,125,83,1,1.29,7.0,6,1,4,1,"Ashcraft, G",1,1,0,1,7,1,6,.196,33,.282,.289,.571,1,1,14,3,2,0,2,6,3,9,32,.343,0,135,4.68,8.0,3,135,83,3,5.79,4.2,3,1,5,3,Velasquez,2023-04-02,Cincinnati Reds,Pittsburgh Pirates,3,1,Cincinnati Reds,1,,
718741,1,1,0,0,12,5,4,.228,29,.290,.386,.676,0,1,17,5,1,0,1,7,4,5,31,.316,1,145,4.00,9.0,4,145,94,4,6.23,4.1,4,2,4,3,"Rogers, Tr",5,1,0,1,7,4,5,.223,31,.333,.354,.687,1,4,12,1,1,0,0,12,5,4,29,.265,0,148,2.06,9.0,1,148,84,1,1.69,5.1,8,3,3,1,Senga,2023-04-02,Miami Marlins,New York Mets,1,5,New York Mets,0,,
718745,4,2,0,2,9,3,6,.133,33,.250,.244,.494,0,4,11,7,2,0,2,9,5,13,38,.432,0,165,3.33,9.0,7,165,96,7,3.86,4.2,6,4,5,2,"Keller, B",7,2,0,2,9,5,13,.274,38,.345,.377,.722,0,7,22,4,2,0,2,9,3,6,33,.250,0,127,1.33,9.0,4,127,82,4,1.50,6.0,6,2,3,1,Ryan,2023-04-02,Kansas City Royals,Minnesota Twins,4,7,Minnesota Twins,0,,
